Year,SA2_code_2016,SA2_name_2016,Population,Population density,Population growth (1 year),Population increase (1 year),Population growth (5 years),Natural increase,Net regional migration,Net overseas migration,Natural increase (ratio to population at start of year),Net regional migration (ratio to population at start of year),Net overseas migration (ratio to population at start of year)
2017,101021007,Braidwood,4034,1.2,2.3,89,12.50696379,17,61,11,0.430925222,1.54626109,0.278833967
2017,101021008,Karabar,8560,1225.9,-0.6,-55,-5.947625388,85,-184,44,0.98665119,-2.135809634,0.510737086
2017,101021009,Queanbeyan,11341,2380.9,0.9,106,4.323827047,43,-94,157,0.382732532,-0.836671117,1.397418781
2017,101021010,Queanbeyan - East,5094,391.7,0.9,45,0.804667069,51,-74,68,1.01010101,-1.46563676,1.346801347
2017,101021011,Queanbeyan Region,18308,6,5,873,21.32612901,140,658,75,0.802982506,3.77401778,0.4301692
2017,101021012,Queanbeyan West - Jerrabomberra,13173,963,-0.2,-20,-0.514995456,107,-216,89,0.811036156,-1.637231865,0.674600167
2017,101031013,Bombala,2418,0.6,-0.3,-7,-1.990251828,-13,4,2,-0.536082474,0.164948454,0.082474227
2017,101031014,Cooma,6872,66.3,-0.3,-18,-1.125378733,-10,-43,35,-0.145137881,-0.624092888,0.507982583
2017,101031015,Cooma Region,3347,0.5,0.4,13,1.797684339,1,3,9,0.029994001,0.089982004,0.269946011
2017,101031016,Jindabyne - Berridale,7132,1.8,0.6,41,2.611079054,19,-58,80,0.267945283,-0.817938232,1.128190664
2017,101041017,Batemans Bay,7876,123.6,0.4,34,1.80156994,-39,50,23,-0.497322112,0.637592451,0.293292527
2017,101041018,Batemans Bay - South,8576,280.3,0.1,6,-0.4439771,-48,24,30,-0.560093349,0.280046674,0.350058343
2017,101041019,Bega - Tathra,8642,47,0.4,35,2.811197141,-2,21,16,-0.0232369,0.243987452,0.185895202
2017,101041020,Bega-Eden Hinterland,8931,1.9,-0.3,-30,-1.272264631,15,-59,14,0.167392032,-0.65840866,0.156232563
2017,101041021,Broulee - Tomakin,3371,139.1,1.6,54,14.30013459,-21,68,7,-0.633102201,2.050045222,0.211034067
2017,101041022,Deua - Wadbilliga,27,0,0,0,-54.54545455,0,0,0,0,0,0
2017,101041023,Eden,3266,34.4,-0.5,-15,-1.114457831,-3,-16,4,-0.091435538,-0.487656202,0.121914051
2017,101041024,Eurobodalla Hinterland,3372,2.3,0.2,6,2.265861027,2,0,4,0.059417706,0,0.118835413
2017,101041025,Merimbula - Tura Beach,10969,112.7,1.2,134,6.523214113,-88,176,46,-0.812182741,1.624365482,0.424550069
2017,101041026,Moruya - Tuross Head,8140,49.2,0.5,44,3.217601424,-33,52,25,-0.407608696,0.64229249,0.308794466
2017,101041027,Narooma - Bermagui,9203,36.4,0.3,32,1.776198934,-72,81,23,-0.785083415,0.883218842,0.250790535
2017,101051539,Goulburn,23558,363.6,1,238,5.342661082,5,97,136,0.021440823,0.415951973,0.583190395
2017,101051540,Goulburn Region,12962,1.4,0.8,100,7.038195588,31,49,20,0.241020059,0.38096719,0.155496812
2017,101061541,Yass,6675,66.9,0.3,19,1.660825842,3,-5,21,0.045072115,-0.075120192,0.315504808
2017,101061542,Yass Region,12060,2.1,1.2,147,7.805888179,45,60,42,0.377738605,0.503651473,0.352556031
2017,101061543,Young,10795,21.3,-0.1,-7,1.089508782,11,-45,27,0.101832994,-0.41658952,0.249953712
2017,101061544,Young Region,7410,1.3,-0.5,-40,-3.07185234,-9,-49,18,-0.120805369,-0.657718121,0.241610738
2017,103011058,Bathurst,24642,206.2,0.4,101,2.349510519,58,-92,135,0.236339187,-0.374882849,0.550099833
2017,103011059,Bathurst - East,11806,125.6,2.9,334,16.9582505,45,254,35,0.392259414,2.214086471,0.305090656
2017,103011060,Bathurst Region,7033,1.9,0.2,16,2.660818713,28,-18,6,0.399030925,-0.25651988,0.085506627
2017,103011061,Oberon,4776,1.6,0.5,23,2.270761246,9,2,12,0.189354092,0.042078687,0.252472123
2017,103021062,Condobolin,6693,0.4,-1.6,-110,-5.470953187,14,-129,5,0.205791563,-1.896222255,0.073496987
2017,103021063,Cowra,9302,38.4,0,2,0.954239861,-38,27,13,-0.408602151,0.290322581,0.139784946
2017,103021064,Cowra Region,5544,1.8,0,2,0.072503172,-14,4,12,-0.252616384,0.07217611,0.216528329
2017,103021065,Forbes,10416,2.3,0.2,22,2.51572327,18,-12,16,0.173176833,-0.115451222,0.153934962
2017,103021066,Grenfell,3663,1.1,-0.5,-17,-2.01396348,-23,-3,9,-0.625,-0.081521739,0.244565217
2017,103021067,Parkes (NSW),11231,47.8,-0.2,-27,-0.681054307,22,-77,28,0.195416593,-0.683958074,0.248712027
2017,103021068,Parkes Region,3429,0.6,-0.2,-6,-1.83855214,0,-13,7,0,-0.37845706,0.203784571
2017,103021069,West Wyalong,5980,0.7,-0.4,-24,-0.449625312,-16,-15,7,-0.266489007,-0.249833444,0.116588941
2017,103031070,Lithgow,13059,108.8,-0.3,-36,1.641137856,-17,-49,30,-0.129820542,-0.374188622,0.229095074
2017,103031071,Lithgow Region,8468,3.4,0.6,48,3.550512445,16,14,18,0.190023753,0.166270784,0.213776722
2017,103031072,Mudgee,12186,184.9,1.5,176,10.01622791,24,108,44,0.199833472,0.899250624,0.366361366
2017,103031073,Mudgee Region - East,3496,1.2,-0.2,-7,0.634371396,-22,11,4,-0.628033114,0.314016557,0.114187839
2017,103031074,Mudgee Region - West,10575,1.3,0.3,31,2.3975927,20,-10,21,0.189681335,-0.094840668,0.199165402
2017,103031075,Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0
2017,103041076,Blayney,7428,4.5,0,-2,0.988332189,26,-39,11,0.349932705,-0.524899058,0.148048452
2017,103041077,Orange,19210,424.5,-1.3,-247,-4.995535271,-6,-324,83,-0.030837231,-1.665210464,0.426581693
2017,103041078,Orange - North,20869,209.7,2.8,571,15.38675107,194,262,115,0.955759188,1.290767563,0.566558282
2017,103041079,Orange Region,11911,2.7,0.9,105,4.331400457,62,25,18,0.5251567,0.211756734,0.152464848
2017,104011080,Grafton,19089,179.7,0.1,14,0.105025469,-56,38,32,-0.293577982,0.19921363,0.167758847
2017,104011081,Grafton Region,15434,1.8,-0.1,-12,0.859784084,24,-71,35,0.155380034,-0.459665933,0.226595882
2017,104011082,Maclean - Yamba - Iluka,16445,23.1,0,5,1.054685119,-110,65,50,-0.669099757,0.395377129,0.304136253
