Year,SA2_code_2016,SA2_name_2016,Population,Population density,Population growth (1 year),Population increase (1 year),Population growth (5 years),Natural increase,Net regional migration,Net overseas migration,Natural increase (ratio to population at start of year),Net regional migration (ratio to population at start of year),Net overseas migration (ratio to population at start of year)
2017,101021007,Braidwood,4034,1.2,2.3,89,12.50696379,17,61,11,0.430925222,1.54626109,0.278833967
2017,101021008,Karabar,8560,1225.9,-0.6,-55,-5.947625388,85,-184,44,0.98665119,-2.135809634,0.510737086
2017,101021009,Queanbeyan,11341,2380.9,0.9,106,4.323827047,43,-94,157,0.382732532,-0.836671117,1.397418781
2017,101021010,Queanbeyan - East,5094,391.7,0.9,45,0.804667069,51,-74,68,1.01010101,-1.46563676,1.346801347
2017,101021011,Queanbeyan Region,18308,6,5,873,21.32612901,140,658,75,0.802982506,3.77401778,0.4301692
2017,101021012,Queanbeyan West - Jerrabomberra,13173,963,-0.2,-20,-0.514995456,107,-216,89,0.811036156,-1.637231865,0.674600167
2017,101031013,Bombala,2418,0.6,-0.3,-7,-1.990251828,-13,4,2,-0.536082474,0.164948454,0.082474227
2017,101031014,Cooma,6872,66.3,-0.3,-18,-1.125378733,-10,-43,35,-0.145137881,-0.624092888,0.507982583
2017,101031015,Cooma Region,3347,0.5,0.4,13,1.797684339,1,3,9,0.029994001,0.089982004,0.269946011
2017,101031016,Jindabyne - Berridale,7132,1.8,0.6,41,2.611079054,19,-58,80,0.267945283,-0.817938232,1.128190664
2017,101041017,Batemans Bay,7876,123.6,0.4,34,1.80156994,-39,50,23,-0.497322112,0.637592451,0.293292527
2017,101041018,Batemans Bay - South,8576,280.3,0.1,6,-0.4439771,-48,24,30,-0.560093349,0.280046674,0.350058343
2017,101041019,Bega - Tathra,8642,47,0.4,35,2.811197141,-2,21,16,-0.0232369,0.243987452,0.185895202
2017,101041020,Bega-Eden Hinterland,8931,1.9,-0.3,-30,-1.272264631,15,-59,14,0.167392032,-0.65840866,0.156232563
2017,101041021,Broulee - Tomakin,3371,139.1,1.6,54,14.30013459,-21,68,7,-0.633102201,2.050045222,0.211034067
2017,101041022,Deua - Wadbilliga,27,0,0,0,-54.54545455,0,0,0,0,0,0
2017,101041023,Eden,3266,34.4,-0.5,-15,-1.114457831,-3,-16,4,-0.091435538,-0.487656202,0.121914051
2017,101041024,Eurobodalla Hinterland,3372,2.3,0.2,6,2.265861027,2,0,4,0.059417706,0,0.118835413
2017,101041025,Merimbula - Tura Beach,10969,112.7,1.2,134,6.523214113,-88,176,46,-0.812182741,1.624365482,0.424550069
2017,101041026,Moruya - Tuross Head,8140,49.2,0.5,44,3.217601424,-33,52,25,-0.407608696,0.64229249,0.308794466
2017,101041027,Narooma - Bermagui,9203,36.4,0.3,32,1.776198934,-72,81,23,-0.785083415,0.883218842,0.250790535
2017,101051539,Goulburn,23558,363.6,1,238,5.342661082,5,97,136,0.021440823,0.415951973,0.583190395
2017,101051540,Goulburn Region,12962,1.4,0.8,100,7.038195588,31,49,20,0.241020059,0.38096719,0.155496812
2017,101061541,Yass,6675,66.9,0.3,19,1.660825842,3,-5,21,0.045072115,-0.075120192,0.315504808
2017,101061542,Yass Region,12060,2.1,1.2,147,7.805888179,45,60,42,0.377738605,0.503651473,0.352556031
2017,101061543,Young,10795,21.3,-0.1,-7,1.089508782,11,-45,27,0.101832994,-0.41658952,0.249953712
2017,101061544,Young Region,7410,1.3,-0.5,-40,-3.07185234,-9,-49,18,-0.120805369,-0.657718121,0.241610738
2017,102011028,Avoca Beach - Copacabana,7590,1179,0.6,44,4.265145341,51,-55,48,0.675854757,-0.728862974,0.636098595
2017,102011029,Box Head - MacMasters Beach,10986,342.4,0.3,30,2.623743952,21,-37,46,0.191675794,-0.337714494,0.419861263
2017,102011030,Calga - Kulnura,4841,6.3,0.6,30,5.569948187,20,-16,26,0.415713989,-0.332571191,0.540428185
2017,102011031,Erina - Green Point,14237,421.3,0,-3,1.593258745,-228,139,86,-1.601123596,0.976123596,0.603932584
2017,102011032,Gosford - Springfield,19385,1146.2,0.5,101,2.984365096,71,-150,180,0.368180875,-0.77784692,0.933416304
2017,102011033,Kariong,6540,787.4,-0.3,-19,-1.09939759,47,-85,19,0.716572648,-1.295929258,0.289678305
2017,102011034,Kincumber - Picketts Valley,7428,614.5,0,-1,1.61575017,-71,42,28,-0.955714093,0.565351999,0.376901333
2017,102011035,Narara,6853,889.8,0.4,24,1.852675263,45,-51,30,0.658954459,-0.746815053,0.439302973
2017,102011036,Niagara Park - Lisarow,8173,488.5,-0.4,-29,-1.232330555,2,-59,28,0.024384297,-0.719336747,0.341380151
2017,102011037,Point Clare - Koolewong,6281,925.4,-0.8,-48,-2.189668466,-1,-82,35,-0.015800284,-1.295623321,0.553009954
2017,102011038,Saratoga - Davistown,7177,1505.1,0.5,35,4.855776199,30,-25,30,0.420050406,-0.350042005,0.420050406
2017,102011039,Terrigal - North Avoca,14048,1389.9,1,139,5.68727491,95,-96,140,0.683011,-0.69020059,1.006542526
2017,102011040,Umina - Booker Bay - Patonga,24251,961.3,0.9,214,4.481373889,-71,167,118,-0.295377959,0.694762242,0.490909847
2017,102011041,Wamberal - Forresters Beach,10308,751.2,1.6,162,6.390938377,78,41,43,0.768775872,0.404100138,0.42381234
2017,102011042,Woy Woy - Blackwall,14327,822.3,1,146,4.577874818,-54,131,69,-0.380791199,0.923771243,0.486566533
2017,102011043,Wyoming,11659,1391.1,0,2,1.727563272,-97,53,46,-0.832118041,0.454662435,0.394612679
2017,102021044,Bateau Bay - Killarney Vale,22465,2068.7,0.2,53,2.000090502,-66,61,58,-0.294485097,0.27217562,0.258789934
2017,102021045,Blue Haven - San Remo,11366,541.8,0.5,61,2.185055301,77,-41,25,0.681114551,-0.362671384,0.221141088
2017,102021046,Budgewoi - Buff Point - Halekulani,9639,1030.6,0.7,69,4.239939584,40,10,19,0.417972832,0.104493208,0.198537095
2017,102021047,Chittaway Bay - Tumbi Umbi,15697,640.7,-0.1,-17,-0.08891147,-12,-53,48,-0.076365025,-0.33727886,0.305460099
2017,102021048,Gorokan - Kanwal - Charmhaven,22567,2006.1,0.3,78,4.915073819,-105,122,61,-0.466894926,0.542487438,0.271243719
2017,102021049,Jilliby - Yarramalong,3520,10.2,1.3,46,8.30471433,13,22,11,0.374208405,0.633275763,0.316637881
2017,102021050,Lake Munmorah - Mannering Park,11093,312.5,1,109,5.123321588,-22,106,25,-0.200291333,0.965040058,0.227603787
