SA4_code_2016,Region Name,Time,Estiamted Resident Population,Population Growth Rate (1-year)
102,Central Coast,2001,294596,
102,Central Coast,2002,297530,0.99
102,Central Coast,2003,299319,0.6
102,Central Coast,2004,299999,0.23
102,Central Coast,2005,301403,0.47
102,Central Coast,2006,303051,0.54
102,Central Coast,2007,306499,1.12
102,Central Coast,2008,312338,1.87
102,Central Coast,2009,316796,1.41
102,Central Coast,2010,320361,1.11
102,Central Coast,2011,322657,0.71
102,Central Coast,2012,325163,0.77
102,Central Coast,2013,327745,0.79
102,Central Coast,2014,330377,0.8
102,Central Coast,2015,333264,0.87
102,Central Coast,2016,336611,0.99
102,Central Coast,2017,339236,0.77
115,Sydney - Baulkham Hills and Hawkesbury,2001,185499,
115,Sydney - Baulkham Hills and Hawkesbury,2002,190791,2.77
115,Sydney - Baulkham Hills and Hawkesbury,2003,195288,2.3
115,Sydney - Baulkham Hills and Hawkesbury,2004,198347,1.54
115,Sydney - Baulkham Hills and Hawkesbury,2005,201369,1.5
115,Sydney - Baulkham Hills and Hawkesbury,2006,204320,1.44
115,Sydney - Baulkham Hills and Hawkesbury,2007,206866,1.23
115,Sydney - Baulkham Hills and Hawkesbury,2008,210711,1.82
115,Sydney - Baulkham Hills and Hawkesbury,2009,214671,1.84
115,Sydney - Baulkham Hills and Hawkesbury,2010,216873,1.02
115,Sydney - Baulkham Hills and Hawkesbury,2011,218866,0.91
115,Sydney - Baulkham Hills and Hawkesbury,2012,221249,1.08
115,Sydney - Baulkham Hills and Hawkesbury,2013,224036,1.24
115,Sydney - Baulkham Hills and Hawkesbury,2014,227298,1.44
115,Sydney - Baulkham Hills and Hawkesbury,2015,231186,1.68
115,Sydney - Baulkham Hills and Hawkesbury,2016,235609,1.88
115,Sydney - Baulkham Hills and Hawkesbury,2017,240876,2.19
116,Sydney - Blacktown,2001,265151,
116,Sydney - Blacktown,2002,268456,1.23
116,Sydney - Blacktown,2003,270427,0.73
116,Sydney - Blacktown,2004,273772,1.22
116,Sydney - Blacktown,2005,276974,1.16
116,Sydney - Blacktown,2006,281151,1.49
116,Sydney - Blacktown,2007,287367,2.16
116,Sydney - Blacktown,2008,294596,2.45
116,Sydney - Blacktown,2009,301682,2.35
116,Sydney - Blacktown,2010,309200,2.43
116,Sydney - Blacktown,2011,314875,1.8
116,Sydney - Blacktown,2012,320288,1.69
116,Sydney - Blacktown,2013,327424,2.18
116,Sydney - Blacktown,2014,334517,2.12
116,Sydney - Blacktown,2015,342178,2.24
116,Sydney - Blacktown,2016,350795,2.46
116,Sydney - Blacktown,2017,360060,2.57
117,Sydney - City and Inner South,2001,221136,
117,Sydney - City and Inner South,2002,228627,3.28
117,Sydney - City and Inner South,2003,236782,3.44
117,Sydney - City and Inner South,2004,243865,2.9
117,Sydney - City and Inner South,2005,250226,2.54
117,Sydney - City and Inner South,2006,256524,2.46
117,Sydney - City and Inner South,2007,262722,2.36
117,Sydney - City and Inner South,2008,268910,2.3
117,Sydney - City and Inner South,2009,274908,2.18
117,Sydney - City and Inner South,2010,280249,1.91
117,Sydney - City and Inner South,2011,283784,1.25
117,Sydney - City and Inner South,2012,291397,2.61
117,Sydney - City and Inner South,2013,299986,2.86
117,Sydney - City and Inner South,2014,310506,3.39
117,Sydney - City and Inner South,2015,322842,3.82
117,Sydney - City and Inner South,2016,335285,3.71
117,Sydney - City and Inner South,2017,348695,3.85
118,Sydney - Eastern Suburbs,2001,244830,
118,Sydney - Eastern Suburbs,2002,244818,0
118,Sydney - Eastern Suburbs,2003,244816,0
118,Sydney - Eastern Suburbs,2004,244809,0
118,Sydney - Eastern Suburbs,2005,245664,0.35
118,Sydney - Eastern Suburbs,2006,247692,0.82
118,Sydney - Eastern Suburbs,2007,252164,1.77
118,Sydney - Eastern Suburbs,2008,256749,1.79
118,Sydney - Eastern Suburbs,2009,261423,1.79
118,Sydney - Eastern Suburbs,2010,264827,1.29
118,Sydney - Eastern Suburbs,2011,268144,1.24
118,Sydney - Eastern Suburbs,2012,271192,1.12
118,Sydney - Eastern Suburbs,2013,274954,1.37
118,Sydney - Eastern Suburbs,2014,278411,1.24
118,Sydney - Eastern Suburbs,2015,281419,1.07
118,Sydney - Eastern Suburbs,2016,284380,1.04
118,Sydney - Eastern Suburbs,2017,289483,1.76
119,Sydney - Inner South West,2001,497437,
119,Sydney - Inner South West,2002,497962,0.11
119,Sydney - Inner South West,2003,499078,0.22
119,Sydney - Inner South West,2004,500229,0.23
119,Sydney - Inner South West,2005,503810,0.71
119,Sydney - Inner South West,2006,508879,1
119,Sydney - Inner South West,2007,518297,1.82
119,Sydney - Inner South West,2008,529587,2.13
119,Sydney - Inner South West,2009,539214,1.79
119,Sydney - Inner South West,2010,546240,1.29
119,Sydney - Inner South West,2011,551692,0.99
119,Sydney - Inner South West,2012,560344,1.54
119,Sydney - Inner South West,2013,569885,1.67
119,Sydney - Inner South West,2014,579269,1.62
119,Sydney - Inner South West,2015,588748,1.61
119,Sydney - Inner South West,2016,598303,1.6
119,Sydney - Inner South West,2017,610511,2
120,Sydney - Inner West,2001,239727,
120,Sydney - Inner West,2002,241085,0.56
120,Sydney - Inner West,2003,243476,0.98
120,Sydney - Inner West,2004,246264,1.13
120,Sydney - Inner West,2005,249222,1.19
120,Sydney - Inner West,2006,252768,1.4
120,Sydney - Inner West,2007,258346,2.16
120,Sydney - Inner West,2008,263725,2.04
120,Sydney - Inner West,2009,270244,2.41
120,Sydney - Inner West,2010,274515,1.56
120,Sydney - Inner West,2011,278878,1.56
120,Sydney - Inner West,2012,284311,1.91
120,Sydney - Inner West,2013,290736,2.21
120,Sydney - Inner West,2014,297475,2.27
120,Sydney - Inner West,2015,302256,1.58
120,Sydney - Inner West,2016,307741,1.78
120,Sydney - Inner West,2017,313927,1.97
121,Sydney - North Sydney and Hornsby,2001,358299,
121,Sydney - North Sydney and Hornsby,2002,361366,0.85
121,Sydney - North Sydney and Hornsby,2003,363415,0.56
121,Sydney - North Sydney and Hornsby,2004,364753,0.37
121,Sydney - North Sydney and Hornsby,2005,365645,0.24
121,Sydney - North Sydney and Hornsby,2006,367060,0.39
121,Sydney - North Sydney and Hornsby,2007,371793,1.27
121,Sydney - North Sydney and Hornsby,2008,377775,1.58
121,Sydney - North Sydney and Hornsby,2009,384411,1.73
121,Sydney - North Sydney and Hornsby,2010,390163,1.47
121,Sydney - North Sydney and Hornsby,2011,395154,1.26
121,Sydney - North Sydney and Hornsby,2012,399807,1.16
121,Sydney - North Sydney and Hornsby,2013,404908,1.26
121,Sydney - North Sydney and Hornsby,2014,410608,1.39
121,Sydney - North Sydney and Hornsby,2015,417043,1.54
121,Sydney - North Sydney and Hornsby,2016,423586,1.54
121,Sydney - North Sydney and Hornsby,2017,431008,1.72
122,Sydney - Northern Beaches,2001,229816,
122,Sydney - Northern Beaches,2002,230170,0.15
122,Sydney - Northern Beaches,2003,230208,0.02
122,Sydney - Northern Beaches,2004,230438,0.1
122,Sydney - Northern Beaches,2005,231741,0.56
122,Sydney - Northern Beaches,2006,233600,0.8
122,Sydney - Northern Beaches,2007,237084,1.47
122,Sydney - Northern Beaches,2008,239842,1.15
122,Sydney - Northern Beaches,2009,244500,1.91
122,Sydney - Northern Beaches,2010,248250,1.51
122,Sydney - Northern Beaches,2011,251696,1.37
122,Sydney - Northern Beaches,2012,254115,0.95
122,Sydney - Northern Beaches,2013,257020,1.13
122,Sydney - Northern Beaches,2014,259723,1.04
122,Sydney - Northern Beaches,2015,262593,1.09
122,Sydney - Northern Beaches,2016,265468,1.08
122,Sydney - Northern Beaches,2017,268666,1.19
123,Sydney - Outer South West,2001,223199,
123,Sydney - Outer South West,2002,225221,0.9
123,Sydney - Outer South West,2003,226521,0.57
123,Sydney - Outer South West,2004,226565,0.02
123,Sydney - Outer South West,2005,227701,0.5
123,Sydney - Outer South West,2006,228215,0.23
123,Sydney - Outer South West,2007,231165,1.28
123,Sydney - Outer South West,2008,234580,1.46
123,Sydney - Outer South West,2009,238554,1.67
123,Sydney - Outer South West,2010,240988,1.01
123,Sydney - Outer South West,2011,243751,1.13
123,Sydney - Outer South West,2012,247256,1.42
123,Sydney - Outer South West,2013,251649,1.75
123,Sydney - Outer South West,2014,256884,2.04
123,Sydney - Outer South West,2015,262817,2.26
123,Sydney - Outer South West,2016,269434,2.46
123,Sydney - Outer South West,2017,275946,2.36
124,Sydney - Outer West and Blue Mountains,2001,286984,
124,Sydney - Outer West and Blue Mountains,2002,287763,0.27
124,Sydney - Outer West and Blue Mountains,2003,287581,-0.06
124,Sydney - Outer West and Blue Mountains,2004,285791,-0.63
124,Sydney - Outer West and Blue Mountains,2005,285479,-0.11
124,Sydney - Outer West and Blue Mountains,2006,285219,-0.09
124,Sydney - Outer West and Blue Mountains,2007,287422,0.77
124,Sydney - Outer West and Blue Mountains,2008,291502,1.4
124,Sydney - Outer West and Blue Mountains,2009,294563,1.04
124,Sydney - Outer West and Blue Mountains,2010,295959,0.47
124,Sydney - Outer West and Blue Mountains,2011,297862,0.64
124,Sydney - Outer West and Blue Mountains,2012,300556,0.9
124,Sydney - Outer West and Blue Mountains,2013,304119,1.17
124,Sydney - Outer West and Blue Mountains,2014,307579,1.12
124,Sydney - Outer West and Blue Mountains,2015,311493,1.26
124,Sydney - Outer West and Blue Mountains,2016,315265,1.2
124,Sydney - Outer West and Blue Mountains,2017,319008,1.17
125,Sydney - Parramatta,2001,347519,
125,Sydney - Parramatta,2002,349524,0.57
125,Sydney - Parramatta,2003,351914,0.68
125,Sydney - Parramatta,2004,355640,1.05
125,Sydney - Parramatta,2005,361507,1.62
125,Sydney - Parramatta,2006,367682,1.68
125,Sydney - Parramatta,2007,376804,2.42
125,Sydney - Parramatta,2008,387247,2.7
125,Sydney - Parramatta,2009,397698,2.63
125,Sydney - Parramatta,2010,406628,2.2
125,Sydney - Parramatta,2011,413886,1.75
125,Sydney - Parramatta,2012,423079,2.17
125,Sydney - Parramatta,2013,434184,2.56
125,Sydney - Parramatta,2014,444838,2.4
125,Sydney - Parramatta,2015,455337,2.31
125,Sydney - Parramatta,2016,466477,2.39
125,Sydney - Parramatta,2017,480925,3
126,Sydney - Ryde,2001,157512,
126,Sydney - Ryde,2002,157522,0.01
126,Sydney - Ryde,2003,157800,0.18
126,Sydney - Ryde,2004,158464,0.42
126,Sydney - Ryde,2005,159092,0.39
126,Sydney - Ryde,2006,160049,0.6
126,Sydney - Ryde,2007,162652,1.6
126,Sydney - Ryde,2008,165195,1.54
126,Sydney - Ryde,2009,167251,1.23
126,Sydney - Ryde,2010,169329,1.23
126,Sydney - Ryde,2011,171350,1.18
126,Sydney - Ryde,2012,174773,1.96
126,Sydney - Ryde,2013,178245,1.95
126,Sydney - Ryde,2014,181661,1.88
126,Sydney - Ryde,2015,185593,2.12
126,Sydney - Ryde,2016,189648,2.14
126,Sydney - Ryde,2017,194360,2.42
127,Sydney - South West,2001,338974,
127,Sydney - South West,2002,342366,0.99
127,Sydney - South West,2003,343764,0.41
127,Sydney - South West,2004,344481,0.21
127,Sydney - South West,2005,346770,0.66
127,Sydney - South West,2006,349240,0.71
127,Sydney - South West,2007,353805,1.29
127,Sydney - South West,2008,361073,2.01
127,Sydney - South West,2009,368030,1.89
127,Sydney - South West,2010,372466,1.19
127,Sydney - South West,2011,376717,1.13
127,Sydney - South West,2012,383054,1.65
127,Sydney - South West,2013,390529,1.91
127,Sydney - South West,2014,398887,2.1
127,Sydney - South West,2015,408802,2.43
127,Sydney - South West,2016,420470,2.77
127,Sydney - South West,2017,432659,2.82
128,Sydney - Sutherland,2001,211901,
